#,Date,Time,Dir,Entry,Exit,SL,TP,Vol,Risk$,PnL,Result,Balance
79,2025-12-05,07:45,BUY,4228.18,4212.27,4212.27,4275.92,0.01,10.33,-15.91,LOSS,2050.17
80,2025-12-05,09:08,BUY,4219.52,4230.76,4214.69,4230.76,0.01,10.25,+11.24,WIN,2061.41
81,2025-12-05,09:45,BUY,4218.84,4230.76,4213.02,4230.76,0.01,10.31,+11.92,WIN,2073.33
82,2025-12-05,13:26,BUY,4228.15,4257.85,4218.25,4257.85,0.01,10.37,+29.70,WIN,2103.03
83,2025-12-05,13:56,BUY,4234.82,4218.25,4218.25,4284.53,0.01,10.52,-16.57,LOSS,2086.46
84,2025-12-05,15:40,BUY,4239.88,4214.23,4214.23,4316.84,0.01,10.43,-25.65,LOSS,2060.81
85,2025-12-05,16:25,BUY,4242.28,4207.17,4207.17,4347.60,0.01,10.30,-35.11,LOSS,2025.70
86,2025-12-09,02:00,BUY,4195.84,4188.75,4188.75,4217.11,0.01,10.13,-7.09,LOSS,2018.61
87,2025-12-09,03:00,BUY,4188.08,4197.27,4187.41,4197.27,0.05,10.09,+45.95,WIN,2064.56
88,2026-01-02,07:30,SELL,4374.00,4379.69,4379.69,4345.19,0.01,10.32,-5.69,LOSS,2058.87
89,2026-01-02,10:01,SELL,4388.45,4388.80,4388.80,4372.16,0.13,10.29,-4.54,LOSS,2054.33
90,2026-01-02,10:31,SELL,4386.96,4389.66,4389.66,4372.16,0.02,10.27,-5.39,LOSS,2048.94
91,2026-01-02,12:31,SELL,4391.55,4395.32,4395.32,4383.52,0.01,10.24,-3.77,LOSS,2045.17
92,2026-01-02,13:01,SELL,4394.05,4399.18,4399.18,4383.52,0.01,10.23,-5.13,LOSS,2040.04
93,2026-01-05,16:15,SELL,4446.96,4449.64,4449.64,4396.40,0.01,10.20,-2.68,LOSS,2037.36
94,2026-01-06,00:15,SELL,4440.99,4442.65,4442.65,4437.85,0.02,10.19,-3.33,LOSS,2034.03
95,2026-01-06,01:10,SELL,4431.13,4443.60,4443.60,4393.71,0.01,10.17,-12.47,LOSS,2021.56
96,2026-01-06,01:40,SELL,4442.33,4443.60,4443.60,4437.85,0.02,10.11,-2.55,LOSS,2019.01
97,2026-01-09,02:15,SELL,4464.84,4470.12,4470.12,4453.05,0.01,10.10,-5.28,LOSS,2013.73
98,2026-01-09,02:46,SELL,4470.67,4471.22,4471.22,4453.05,0.04,10.07,-2.18,LOSS,2011.55
99,2026-01-09,03:19,SELL,4470.49,4474.87,4474.87,4453.05,0.01,10.06,-4.38,LOSS,2007.17
100,2026-01-09,07:00,SELL,4474.34,4477.52,4477.52,4460.67,0.01,10.04,-3.18,LOSS,2003.99
101,2026-01-09,07:30,SELL,4472.71,4477.52,4477.52,4460.67,0.01,10.02,-4.81,LOSS,1999.18
102,2026-01-09,08:00,SELL,4469.72,4471.36,4471.36,4460.67,0.01,10.00,-1.64,LOSS,1997.54
103,2026-01-09,08:32,SELL,4474.78,4480.07,4480.07,4460.67,0.01,9.99,-5.29,LOSS,1992.25
104,2026-01-09,09:27,SELL,4472.44,4480.07,4480.07,4460.67,0.01,9.96,-7.63,LOSS,1984.62
105,2026-01-09,09:57,SELL,4474.22,4480.07,4480.07,4460.67,0.01,9.92,-5.85,LOSS,1978.77
106,2026-01-09,12:16,SELL,4471.86,4473.73,4473.73,4467.24,0.01,9.89,-1.87,LOSS,1976.90
107,2026-01-09,12:46,SELL,4473.74,4467.24,4473.75,4467.24,0.28,9.88,+182.00,WIN,2158.90
108,2026-01-09,13:20,SELL,4466.07,4470.65,4470.65,4452.31,0.02,10.79,-9.17,LOSS,2149.73
109,2026-01-12,12:00,SELL,4590.50,4594.36,4594.36,4500.01,0.02,10.75,-7.72,LOSS,2142.01
